Item,Category,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Pred
American Cheese (slice),Additional Options,40,30,3.5,2.0,0.0,10,180,1.0,0.0,0.0,2.0,4.0
Ketchup (Packet),Additional Options,10,0,0.0,0.0,0.0,0,125,3.0,0.0,2.0,0.0,3.0
Mayonnaise (Packet),Additional Options,80,80,9.0,0.5,0.0,10,75,1.0,0.0,0.0,0.0,7.0
Strawberry or Grape Jam (packet),Additional Options,25,0,0.0,0.0,0.0,0,0,7.0,0.0,6.0,0.0,8.0
Breakfast Syrup- 1 oz,Additional Options,90,0,0.0,0.0,0.0,0,25,24.0,0.0,17.0,0.0,6.0
Barbecue Dipping Sauce- 1 oz,Additional Options,50,0,0.0,0.0,0.0,0,310,12.0,0.0,11.0,0.0,0.0
Ranch Dipping Sauce- 1 oz,Additional Options,140,130,14.0,2.5,0.0,10,200,1.0,0.0,0.5,0.5,1.0
Buffalo Dipping Sauce- 1 oz,Additional Options,80,70,8.0,1.5,0.0,10,370,2.0,0.0,1.0,0.0,5.0
Zesty Onion Ring Dipping Sauce- 1 oz,Additional Options,150,140,16.0,2.5,0.0,15,230,3.0,0.0,1.0,0.0,9.0
Honey Mustard Dipping Sauce- 1oz,Additional Options,90,60,6.0,1.0,0.0,10,170,8.0,0.0,8.0,0.0,2.0
Fat FREE Milk- 8 fl oz,Beverage,90,0,0.0,0.0,0.0,5,125,13.0,0.0,12.0,9.0,4.0
1% Low Fat Chocolate Milk- 8 fl oz,Beverage,160,25,3.0,1.5,0.0,15,150,26.0,0.0,25.0,8.0,1.0
Capri Sun100% Apple Juice- 6 fl oz,Beverage,80,0,0.0,0.0,0.0,0,25,20.0,0.0,20.0,0.0,9.0
Coca Cola- 16 fl oz,Beverage,200,0,0.0,0.0,0.0,0,50,58.0,0.0,58.0,0.0,8.0
Coca Cola- 20 fl oz,Beverage,240,0,0.0,0.0,0.0,0,60,73.0,0.0,73.0,0.0,8.0
Coca Cola- 29 fl oz,Beverage,350,0,0.0,0.0,0.0,0,85,105.0,0.0,105.0,0.0,0.0
Coca Cola- 38 fl oz,Beverage,460,0,0.0,0.0,0.0,0,115,138.0,0.0,138.0,0.0,7.0
Diet Coke-16 fl oz,Beverage,0,0,0.0,0.0,0.0,0,70,0.0,0.0,0.0,0.0,3.0
Diet Coke-20 fl oz,Beverage,0,0,0.0,0.0,0.0,0,85,0.5,0.0,0.0,0.0,3.0
Diet Coke-29 fl oz,Beverage,0,0,0.0,0.0,0.0,0,120,0.5,0.0,0.0,0.0,3.0
Diet Coke-38 fl oz,Beverage,0,0,0.0,0.0,0.0,0,160,0.5,0.0,0.0,0.0,3.0
Sprite- 16 fl oz,Beverage,180,0,0.0,0.0,0.0,0,95,56.0,0.0,56.0,0.0,2.0
Sprite- 20 fl oz,Beverage,230,0,0.0,0.0,0.0,0,120,70.0,0.0,70.0,0.0,2.0
Sprite- 29 fl oz,Beverage,330,0,0.0,0.0,0.0,0,170,102.0,0.0,102.0,0.0,0.0
Sprite- 38 fl oz,Beverage,440,0,0.0,0.0,0.0,0,230,133.0,0.0,133.0,0.0,6.0
Dr. Pepper- 16 fl oz,Beverage,190,0,0.0,0.0,0.0,0,60,52.0,0.0,51.0,0.0,8.0
Dr. Pepper- 20 fl oz,Beverage,240,0,0.0,0.0,0.0,0,75,65.0,0.0,64.0,0.0,8.0
Dr. Pepper- 29 fl oz,Beverage,350,0,0.0,0.0,0.0,0,105,94.0,0.0,93.0,0.0,0.0
Dr. Pepper- 38 fl oz,Beverage,450,0,0.0,0.0,0.0,0,140,124.0,0.0,121.0,0.0,7.0
Bara's Root Beer- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,100,65.0,0.0,65.0,0.0,2.0
Bara's Root Beer- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,120,81.0,0.0,81.0,0.0,2.0
Bara's Root Beer- 29 fl oz,Beverage,380,0,0.0,0.0,0.0,0,180,118.0,0.0,118.0,0.0,6.0
Bara's Root Beer- 38 fl oz,Beverage,500,0,0.0,0.0,0.0,0,230,155.0,0.0,155.0,0.0,6.0
Cherry Coke- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,55,61.0,0.0,61.0,0.0,8.0
Cherry Coke- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,70,76.0,0.0,76.0,0.0,8.0
Cherry Coke- 29 fl oz,Beverage,380,0,0.0,0.0,0.0,0,100,110.0,0.0,110.0,0.0,0.0
Cherry Coke- 38 fl oz,Beverage,490,0,0.0,0.0,0.0,0,130,145.0,0.0,145.0,0.0,7.0
Fanta Orange- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,60,62.0,0.0,61.0,0.0,8.0
Fanta Orange- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,70,78.0,0.0,77.0,0.0,8.0
Fanta Orange- 29 fl oz,Beverage,370,0,0.0,0.0,0.0,0,105,113.0,0.0,111.0,0.0,0.0
Fanta Orange- 38 fl oz,Beverage,490,0,0.0,0.0,0.0,0,135,148.0,0.0,146.0,0.0,7.0
Fruit Punch- 16 fl oz,Beverage,220,0,0.0,0.0,0.0,0,75,62.0,0.0,60.0,0.0,8.0
Fruit Punch- 20 fl oz,Beverage,280,0,0.0,0.0,0.0,0,95,77.0,0.0,75.0,0.0,2.0
Fruit Punch- 29 fl oz,Beverage,410,0,0.0,0.0,0.0,0,135,111.0,0.0,109.0,0.0,0.0
Fruit Punch- 38 fl oz,Beverage,530,0,0.0,0.0,0.0,0,180,146.0,0.0,143.0,0.0,7.0
MINUTE MAID Lemonade- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,90,54.0,0.0,54.0,0.0,2.0
MINUTE MAID Lemonade- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,115,68.0,0.0,67.0,0.0,2.0
MINUTE MAID Lemonade- 29 fl oz,Beverage,380,0,0.0,0.0,0.0,0,170,99.0,0.0,98.0,0.0,0.0
MINUTE MAID Lemonade- 38 fl oz,Beverage,500,0,0.0,0.0,0.0,0,220,129.0,0.0,128.0,0.0,6.0
Sweet Tea- 20 fl oz,Beverage,120,0,0.0,0.0,0.0,0,0,35.0,0.0,35.0,0.0,9.0
Sweet Tea- 29 fl oz,Beverage,160,0,0.0,0.0,0.0,0,0,49.0,0.0,49.0,0.0,9.0
Sweet Tea- 40 fl oz,Beverage,240,0,0.0,0.0,0.0,0,0,71.0,0.0,71.0,0.0,8.0
Unsweetened Tea-20 fl oz,Beverage,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.0
Unsweetened Tea-29 fl oz,Beverage,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.0
Unsweetened Tea-40 fl oz,Beverage,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.0
Simply Orange Juice¨- 11.5 oz.,Beverage,160,0,0.0,0.0,0.0,0,0,37.0,0.0,33.0,2.0,9.0
Frozen Coke¨- 16 oz,Beverage,130,0,0.0,0.0,0.0,0,50,35.0,0.0,35.0,0.0,9.0
BK Cafe Coffee- 12 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Coffee- 16 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Coffee- 20 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Decaf Coffee- 12 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
